cycle,range_bin,doppler_bin,output_hex
1066075000,6,15,ff46ffb1
1066085000,6,16,017300ad
1066095000,6,17,ffd2ff21
1066105000,6,18,ff2a01dc
1066115000,6,19,ff29fe57
1066125000,6,20,00a10090
1066135000,6,21,00d3ff80
1066145000,6,22,fe79ff4e
1066155000,6,23,008301da
1066165000,6,24,0217fe95
1066175000,6,25,fd85028e
1066185000,6,26,01abfd18
1066195000,6,27,ffa801ec
1066205000,6,28,0062ff0e
1066215000,6,29,fe02ffea
1066225000,6,30,01f5ff75
1066235000,6,31,fe64fff5
1070515000,7,0,006e0292
1070525000,7,1,005bfeba
1070535000,7,2,000cff3b
1070545000,7,3,ff530197
1070555000,7,4,002dff2a
1070565000,7,5,022e000f
1070575000,7,6,fe63fffb
1070585000,7,7,ffc30131
1070595000,7,8,ffa2fe9e
1070605000,7,9,ff070153
1070615000,7,10,0201fe27
1070625000,7,11,018a015b
1070635000,7,12,fc5efea0
1070645000,7,13,035000c2
1070655000,7,14,fdb6ffb0
1070665000,7,15,00ebffdf
1070675000,7,16,fece0014
1070685000,7,17,00d3ffe4
1070695000,7,18,ffba011d
1070705000,7,19,ffabffd1
1070715000,7,20,0049fede
1070725000,7,21,0082017d
1070735000,7,22,ff11fedb
1070745000,7,23,00830073
1070755000,7,24,009efef8
1070765000,7,25,fea701f3
1070775000,7,26,0205ff59
1070785000,7,27,fda4fe7d
1070795000,7,28,01a0031c
1070805000,7,29,ff44fd06
1070815000,7,30,018a02b2
1070825000,7,31,fe13fcf5
1075105000,8,0,00580199
1075115000,8,1,00fafea3
1075125000,8,2,ff4d016f
1075135000,8,3,ff1aff40
1075145000,8,4,ff3a0116
1075155000,8,5,03b8fe95
1075165000,8,6,fc98016f
1075175000,8,7,01cffed4
1075185000,8,8,009c0027
1075195000,8,9,fe0f001c
1075205000,8,10,00b5ff7d
1075215000,8,11,ff070355
1075225000,8,12,014bfc04
1075235000,8,13,febf0092
1075245000,8,14,02800128
1075255000,8,15,fe41fed1
1075265000,8,16,003e00f9
1075275000,8,17,01040007
1075285000,8,18,fe13ffb5
1075295000,8,19,00660062
1075305000,8,20,00b8ffb6
1075315000,8,21,ff68005f
1075325000,8,22,00a8ff5b
1075335000,8,23,fd9fffd2
1075345000,8,24,0416007f
1075355000,8,25,fe43012a
1075365000,8,26,ff4bfe67
1075375000,8,27,01c5001d
1075385000,8,28,fe1b0090
1075395000,8,29,0171fffa
1075405000,8,30,ff30001e
1075415000,8,31,ff75fe55
1079695000,9,0,01dffffb
1079705000,9,1,ff12ffe4
1079715000,9,2,00b0010a
1079725000,9,3,fffbfed4
1079735000,9,4,fe3affce
1079745000,9,5,020f01b2
1079755000,9,6,fe9cff68
1079765000,9,7,01810069
1079775000,9,8,fe23ff00
1079785000,9,9,033f00b5
1079795000,9,10,fd38ff00
1079805000,9,11,febd012a
1079815000,9,12,032cfea5
1079825000,9,13,fe2f0123
1079835000,9,14,0073fea7
1079845000,9,15,008801fa
1079855000,9,16,ffd3fffb
1079865000,9,17,00a2fea8
1079875000,9,18,fd3200ec
1079885000,9,19,0249ff16
1079895000,9,20,000800a8
1079905000,9,21,fec5ffa8
1079915000,9,22,01c2ffd6
1079925000,9,23,fe6d0039
1079935000,9,24,00db0122
1079945000,9,25,0049fe3b
1079955000,9,26,ffb2022a
1079965000,9,27,ffcffd90
1079975000,9,28,006a00fd
1079985000,9,29,0019000f
1079995000,9,30,004b001b
1080005000,9,31,fdf2ff68
1084285000,10,0,01c4fe02
1084295000,10,1,ff330121
1084305000,10,2,ff7d0033
1084315000,10,3,0090ff1a
1084325000,10,4,feebffa7
1084335000,10,5,01980375
1084345000,10,6,feccfd52
1084355000,10,7,018600d4
1084365000,10,8,fe30ffab
1084375000,10,9,01670050
1084385000,10,10,ff77fe8b
1084395000,10,11,feea0247
1084405000,10,12,024efdfe
1084415000,10,13,fe260076
1084425000,10,14,0229ff97
1084435000,10,15,fea400f8
1084445000,10,16,feccfff6
1084455000,10,17,021bff43
1084465000,10,18,fd0b0193
1084475000,10,19,01b4fd84
1084485000,10,20,007d02ad
1084495000,10,21,0040fe2b
1084505000,10,22,000200dc
1084515000,10,23,fe56feb0
1084525000,10,24,01a00245
1084535000,10,25,ff9ffde0
1084545000,10,26,ff7d013f
1084555000,10,27,ffd6feaf
1084565000,10,28,01d20196
1084575000,10,29,fe3effbe
1084585000,10,30,00a5ffbb
1084595000,10,31,feec00a8
1088875000,11,0,017f0007
1088885000,11,1,00f2021d
1088895000,11,2,fe46fded
1088905000,11,3,016b00e4
1088915000,11,4,fda6004c
1088925000,11,5,03750171
1088935000,11,6,fe77fe94
1088945000,11,7,ff14ff6f
1088955000,11,8,011200ba
1088965000,11,9,ff7800b7
1088975000,11,10,0033fd9f
1088985000,11,11,ff900334
1088995000,11,12,0105fcf9
1089005000,11,13,ff9701b6
1089015000,11,14,fff4ff27
1089025000,11,15,0061fff2
1089035000,11,16,ff9d0139
1089045000,11,17,fe8a0049
1089055000,11,18,019efee9
1089065000,11,19,007bff1a
1089075000,11,20,ff9e028e
1089085000,11,21,ffa7fcbd
1089095000,11,22,ffd302f0
1089105000,11,23,ffd6fdc5
1089115000,11,24,006601d2
1089125000,11,25,0068ff03
1089135000,11,26,ffad001f
1089145000,11,27,ffde004a
1089155000,11,28,0163ff49
1089165000,11,29,fe2100f4
1089175000,11,30,020e0099
1089185000,11,31,fce1fda6
1093465000,12,0,011100ff
1093475000,12,1,ffaafef9
1093485000,12,2,ffcb008c
1093495000,12,3,00880041
1093505000,12,4,fe1e004c
1093515000,12,5,03df005d
1093525000,12,6,fe0cffea
1093535000,12,7,ffcfff7e
1093545000,12,8,feeaffe2
1093555000,12,9,009b0126
1093565000,12,10,0121fbe7
1093575000,12,11,ff7f05fa
1093585000,12,12,ffb2fba6
1093595000,12,13,019e00d7
1093605000,12,14,fe3f01c1
1093615000,12,15,0041fe53
1093625000,12,16,004d00ff
1093635000,12,17,0050ff6f
1093645000,12,18,fe91000a
1093655000,12,19,00a4ffc1
1093665000,12,20,0176ff82
1093675000,12,21,fdc100a9
1093685000,12,22,019e00e2
1093695000,12,23,fe93fe34
1093705000,12,24,01e80178
1093715000,12,25,ff5bffca
1093725000,12,26,ffabff6f
1093735000,12,27,ff050078
1093745000,12,28,013a0034
1093755000,12,29,001aff13
1093765000,12,30,006f00d7
1093775000,12,31,fe35feef
1098055000,13,0,fd7b0008
1098065000,13,1,033bffae
1098075000,13,2,fd51ffa5
1098085000,13,3,01630130
1098095000,13,4,fe2800b4
1098105000,13,5,04c5fd5a
1098115000,13,6,fd000282
1098125000,13,7,ff6dfe01
1098135000,13,8,00f40242
1098145000,13,9,ff9cfdef
1098155000,13,10,005cff82
1098165000,13,11,fec0031b
1098175000,13,12,0101fdca
1098185000,13,13,ffc3ffcb
1098195000,13,14,00b20040
1098205000,13,15,ffa5ff56
1098215000,13,16,00450104
1098225000,13,17,ffd9ffd2
1098235000,13,18,ff55ffc1
1098245000,13,19,ffed00a2
1098255000,13,20,ffceff24
1098265000,13,21,ffb100fc
1098275000,13,22,012cff0a
1098285000,13,23,feb90085
1098295000,13,24,02a800d2
1098305000,13,25,fd5cffb9
1098315000,13,26,0146fe8c
1098325000,13,27,fff400d3
1098335000,13,28,ffcd00d6
1098345000,13,29,ff9bfe47
1098355000,13,30,010a0208
1098365000,13,31,0001fef4
1102645000,14,0,fef10080
1102655000,14,1,01ce0054
1102665000,14,2,ffa7ffb8
1102675000,14,3,ff2100ee
1102685000,14,4,fefcff94
1102695000,14,5,0345ff9e
1102705000,14,6,fe0cffd6
1102715000,14,7,fe94009e
1102725000,14,8,01a1ff9f
1102735000,14,9,010a012f
1102745000,14,10,fea9fdd2
1102755000,14,11,0042029f
1102765000,14,12,00f6fe3f
1102775000,14,13,fe8dfe9a
1102785000,14,14,018c0126
1102795000,14,15,ffb0ffc3
1102805000,14,16,fe51011c
1102815000,14,17,01a40006
1102825000,14,18,fe27fea2
1102835000,14,19,01570100
1102845000,14,20,ff2cffe8
1102855000,14,21,0041ff1a
1102865000,14,22,01900210
1102875000,14,23,fe38fcc8
1102885000,14,24,01c90281
1102895000,14,25,fd10febb
1102905000,14,26,02cd0100
1102915000,14,27,fe66004b
1102925000,14,28,00660001
1102935000,14,29,ffc9fefa
1102945000,14,30,005400a0
1102955000,14,31,000cff1f
1107235000,15,0,fe29014e
1107245000,15,1,0220fe40
1107255000,15,2,ff6d0124
1107265000,15,3,0057fd78
1107275000,15,4,fdff02de
1107285000,15,5,0239fed3
1107295000,15,6,fefb004c
1107305000,15,7,ff7afffb
1107315000,15,8,01000097
1107325000,15,9,00150013
1107335000,15,10,fef8fe2a
1107345000,15,11,ffab0239
1107355000,15,12,0299fe0a
1107365000,15,13,fcce016d
1107375000,15,14,027bff0e
1107385000,15,15,ff220022
1107395000,15,16,ff9d0040
1107405000,15,17,00f8ff04
1107415000,15,18,fed701de
1107425000,15,19,ff5d002a
1107435000,15,20,00edff4e
1107445000,15,21,ff1d0055
1107455000,15,22,0149fe28
1107465000,15,23,002201a1
1107475000,15,24,001200c3
1107485000,15,25,007ffdf9
1107495000,15,26,ff500170
1107505000,15,27,0035ffa9
1107515000,15,28,ff430062
1107525000,15,29,fee8fed3
1107535000,15,30,02c50082
1107545000,15,31,ff46ffe6
1111825000,16,0,0011ff74
1111835000,16,1,00b30137
1111845000,16,2,fff9fed4
1111855000,16,3,ff1200a1
1111865000,16,4,fe17000f
1111875000,16,5,048b011c
1111885000,16,6,fd30fe9b
1111895000,16,7,00110000
1111905000,16,8,000500c3
1111915000,16,9,003e0018
1111925000,16,10,00fefe26
1111935000,16,11,fe59043b
1111945000,16,12,0141fb8f
1111955000,16,13,ffba00d7
1111965000,16,14,ff4d0140
1111975000,16,15,0222feaf
1111985000,16,16,fd8501dc
1111995000,16,17,0191ff6b
1112005000,16,18,ff19ff3c
1112015000,16,19,fed20087
1112025000,16,20,01fffeb7
1112035000,16,21,ff2b00f0
1112045000,16,22,0076019b
1112055000,16,23,fea5fd7e
1112065000,16,24,03a502c9
1112075000,16,25,fcdafdf2
1112085000,16,26,0144ffda
1112095000,16,27,ff4bfff1
1112105000,16,28,008100a7
1112115000,16,29,ff3cff69
1112125000,16,30,00510172
1112135000,16,31,ffe8feb7
1116415000,17,0,0152ffa7
1116425000,17,1,0116ffe7
1116435000,17,2,fdddffc7
1116445000,17,3,028d007a
1116455000,17,4,fc8eff8f
1116465000,17,5,04850073
1116475000,17,6,fca501e1
1116485000,17,7,0166fda5
1116495000,17,8,fee60012
1116505000,17,9,004f01e8
1116515000,17,10,0093fd29
1116525000,17,11,fee802d9
1116535000,17,12,016dfde6
1116545000,17,13,ffc100d5
1116555000,17,14,003dff73
1116565000,17,15,feefff3d
1116575000,17,16,01140285
1116585000,17,17,ff6cfe25
1116595000,17,18,fee300af
1116605000,17,19,008f010e
1116615000,17,20,00f4feaf
1116625000,17,21,ff79ffbb
1116635000,17,22,005500d1
1116645000,17,23,fef6fe97
1116655000,17,24,02c0024a
1116665000,17,25,fd4ffe84
1116675000,17,26,01790061
1116685000,17,27,fec4ff8b
1116695000,17,28,00950064
1116705000,17,29,0039ffbd
1116715000,17,30,01cd00db
1116725000,17,31,fc75ff53
1121005000,18,0,025c00de
1121015000,18,1,fea8ffb5
1121025000,18,2,013bff8e
1121035000,18,3,fe0d0025
1121045000,18,4,000e0077
1121055000,18,5,03890069
1121065000,18,6,fd30ffac
1121075000,18,7,01cfffc0
1121085000,18,8,fd4fffeb
1121095000,18,9,019c0136
1121105000,18,10,fefdfd85
1121115000,18,11,01a5024e
1121125000,18,12,fe99fee6
1121135000,18,13,009bff70
1121145000,18,14,016d0163
1121155000,18,15,fe47ff55
1121165000,18,16,001e0024
1121175000,18,17,017c0047
1121185000,18,18,fd35fee0
1121195000,18,19,01b301a3
1121205000,18,20,ff90fe2b
1121215000,18,21,000b0081
1121225000,18,22,005a0200
1121235000,18,23,fecdfd4c
1121245000,18,24,0337018f
1121255000,18,25,fda0ffc6
1121265000,18,26,00b30031
1121275000,18,27,fed7ff36
1121285000,18,28,0069002c
1121295000,18,29,00490116
1121305000,18,30,0229fe2d
1121315000,18,31,fc29005b
1125595000,19,0,fedc00ce
1125605000,19,1,011eff58
1125615000,19,2,ff39fff7
1125625000,19,3,01c6025e
1125635000,19,4,fd87fd00
1125645000,19,5,02da0299
1125655000,19,6,fe2afe6e
1125665000,19,7,00e00014
1125675000,19,8,fec1015e
1125685000,19,9,005ffe0f
1125695000,19,10,006300ee
1125705000,19,11,005f010a
1125715000,19,12,fee1fe63
1125725000,19,13,00b9ff7e
1125735000,19,14,0168ffee
1125745000,19,15,fed501ad
1125755000,19,16,ff20ff76
1125765000,19,17,00d2012a
1125775000,19,18,0045fe6f
1125785000,19,19,feee0044
1125795000,19,20,ffa9ffa8
1125805000,19,21,0188ffed
1125815000,19,22,002200fc
1125825000,19,23,fdb6fde0
1125835000,19,24,02e70312
1125845000,19,25,fde5fecb
1125855000,19,26,020fff60
1125865000,19,27,fdd1008c
1125875000,19,28,021bfff9
1125885000,19,29,fee1ffc8
1125895000,19,30,ffdc005c
1125905000,19,31,0031fedf
1130185000,20,0,00b901e7
1130195000,20,1,00d3feb2
1130205000,20,2,fef0ffe5
1130215000,20,3,012101b9
1130225000,20,4,fd9aff37
1130235000,20,5,047700be
1130245000,20,6,fc74fec5
1130255000,20,7,01ae00de
1130265000,20,8,feecff32
1130275000,20,9,ff80008e
1130285000,20,10,012dff4d
1130295000,20,11,ff2900f9
1130305000,20,12,0062ff50
1130315000,20,13,0067ffa4
1130325000,20,14,fff3004a
1130335000,20,15,005200c4
1130345000,20,16,ff45003f
1130355000,20,17,013dffce
1130365000,20,18,fd42ff01
1130375000,20,19,01490077
1130385000,20,20,011eff6b
1130395000,20,21,fe990054
1130405000,20,22,00ee0137
1130415000,20,23,fe44fe20
1130425000,20,24,04420224
1130435000,20,25,fc4cff2e
1130445000,20,26,0165ffdd
1130455000,20,27,ff5dfecf
1130465000,20,28,0022012a
1130475000,20,29,00ed0126
1130485000,20,30,003ffe22
1130495000,20,31,fdccff1e
1134775000,21,0,ffd9ff08
1134785000,21,1,011effc5
1134795000,21,2,fe620006
1134805000,21,3,01c30206
1134815000,21,4,fe0aff73
1134825000,21,5,01f2ff49
1134835000,21,6,ff040085
1134845000,21,7,003f001a
1134855000,21,8,ff38fece
1134865000,21,9,015e0168
1134875000,21,10,ff5efd2a
1134885000,21,11,fff1041c
1134895000,21,12,ffcffd52
1134905000,21,13,ffcc005d
1134915000,21,14,012fffbb
1134925000,21,15,ff340122
1134935000,21,16,ffc3ffc8
1134945000,21,17,015afeab
1134955000,21,18,fd90022e
1134965000,21,19,0223fe1c
1134975000,21,20,ff40ffbd
1134985000,21,21,fe940099
1134995000,21,22,0170010d
1135005000,21,23,ff27ff50
1135015000,21,24,0180fffe
1135025000,21,25,fea20060
1135035000,21,26,016cfff2
1135045000,21,27,ff6dfeaa
1135055000,21,28,013b026a
1135065000,21,29,fd86fd79
1135075000,21,30,008901bb
1135085000,21,31,0042ffbc
1139365000,22,0,fe4dfe8d
1139375000,22,1,02dcfea2
1139385000,22,2,fd63028f
1139395000,22,3,01c0fea6
1139405000,22,4,fe94ff9b
1139415000,22,5,00dc0102
1139425000,22,6,011200a9
1139435000,22,7,ffb9ff0f
1139445000,22,8,fe660004
1139455000,22,9,0178ff8e
1139465000,22,10,ff1a004c
1139475000,22,11,0020003b
1139485000,22,12,ff0cff3e
1139495000,22,13,017b01a4
1139505000,22,14,ff7afd26
1139515000,22,15,00a80302
1139525000,22,16,009dfea3
1139535000,22,17,fdc8ff34
1139545000,22,18,0199022b
1139555000,22,19,fd9efe7a
1139565000,22,20,03a40087
1139575000,22,21,fc6affd0
1139585000,22,22,01e2ff73
1139595000,22,23,ffbd00a1
1139605000,22,24,009c00bc
1139615000,22,25,ff98ff7c
1139625000,22,26,ff2eff9e
1139635000,22,27,01a200b5
1139645000,22,28,fff8ff50
1139655000,22,29,ff23ffca
1139665000,22,30,0076ffba
1139675000,22,31,ffda01de
1143955000,23,0,007e0147
1143965000,23,1,fefffe5d
1143975000,23,2,fff601ac
1143985000,23,3,0045ff70
1143995000,23,4,ff92ff4c
1144005000,23,5,0134016b
1144015000,23,6,ff82ffa2
1144025000,23,7,006900e7
1144035000,23,8,fdfcfd5f
1144045000,23,9,021a0295
1144055000,23,10,fe61fd65
1144065000,23,11,010d03e8
1144075000,23,12,00ccfd2b
1144085000,23,13,fef30048
1144095000,23,14,01b0ff65
1144105000,23,15,fe500155
1144115000,23,16,ffcaff0d
1144125000,23,17,0185ff5f
1144135000,23,18,fdc20278
1144145000,23,19,0089fe84
1144155000,23,20,0190fed0
1144165000,23,21,fdf40229
1144175000,23,22,010cff94
1144185000,23,23,0109febf
1144195000,23,24,ff640019
1144205000,23,25,00260103
1144215000,23,26,ff570117
1144225000,23,27,002dfc68
1144235000,23,28,0002036d
1144245000,23,29,ff69fcd0
1144255000,23,30,00ca0385
1144265000,23,31,ffdefd81
1148545000,24,0,fed5001f
1148555000,24,1,02bd00bd
1148565000,24,2,fd3d00f4
1148575000,24,3,0179fe5f
1148585000,24,4,fcde0399
1148595000,24,5,04e8fce3
1148605000,24,6,fdc0011a
1148615000,24,7,fffeffe1
1148625000,24,8,0065fe7c
1148635000,24,9,ffdf021d
1148645000,24,10,ff61fd96
1148655000,24,11,00ea03f5
1148665000,24,12,0000fcc4
1148675000,24,13,fe6b0075
1148685000,24,14,02d2ffc7
1148695000,24,15,fe2700c3
1148705000,24,16,004dfffd
1148715000,24,17,0195ff7f
1148725000,24,18,fd8f00d8
1148735000,24,19,fff1fef3
1148745000,24,20,01c8ffe7
1148755000,24,21,fe9e0067
1148765000,24,22,009effc4
1148775000,24,23,feceffc1
1148785000,24,24,01d901a0
1148795000,24,25,006bfef3
1148805000,24,26,fd93ffe2
1148815000,24,27,029cffc5
1148825000,24,28,fdd2001c
1148835000,24,29,006b008d
1148845000,24,30,00b8009f
1148855000,24,31,ffa5fdd7
1153135000,25,0,02bf00eb
1153145000,25,1,ff90ff24
1153155000,25,2,fed8fff8
1153165000,25,3,00f40010
1153175000,25,4,ff790169
1153185000,25,5,0095ff1d
1153195000,25,6,ff5fff16
1153205000,25,7,011f01c7
1153215000,25,8,fe41fe2e
1153225000,25,9,004201ca
1153235000,25,10,00fafeab
1153245000,25,11,fd93020a
1153255000,25,12,0358fcd2
1153265000,25,13,fe7a0261
1153275000,25,14,00e9fe55
1153285000,25,15,00250086
1153295000,25,16,feab017b
1153305000,25,17,005cfe5a
1153315000,25,18,fe9401ca
1153325000,25,19,0176fed2
1153335000,25,20,005bffe5
1153345000,25,21,ff210041
1153355000,25,22,01110036
1153365000,25,23,fef3ff95
1153375000,25,24,021500cc
1153385000,25,25,ff3afecc
1153395000,25,26,ff4a0223
1153405000,25,27,ff4ffc08
1153415000,25,28,01cc0340
1153425000,25,29,fec00045
1153435000,25,30,018ffe3f
1153445000,25,31,fcd5ffe2
1157725000,26,0,007bfe19
1157735000,26,1,ffc7037b
1157745000,26,2,0093fdb5
1157755000,26,3,ff5a0029
1157765000,26,4,ff590087
1157775000,26,5,027e00e8
1157785000,26,6,fe3eff26
1157795000,26,7,0052ffbd
1157805000,26,8,004bffac
1157815000,26,9,ff1302ad
1157825000,26,10,0154fca4
1157835000,26,11,fe400272
1157845000,26,12,01b6fcc1
